,city,cloudiness,humidity,latitude,longitude,max_temperature,wind_speed,country,datetime
385,bud,57,82,39.45,-86.18,77.0,4.76,US,1595302350
386,marang,20,70,5.21,103.21,87.8,5.82,MY,1595302350
387,lugovoy,35,18,42.95,72.76,88.41,16.15,KZ,1595302350
388,pingliang,98,69,35.54,106.69,68.07,11.9,CN,1595302350
389,guerrero negro,0,72,27.98,-114.06,69.48,12.97,MX,1595302350
390,dovolnoye,31,75,54.5,79.67,64.74,11.72,RU,1595302350
391,pemberton,100,53,50.32,-122.8,76.5,5.17,CA,1595302344
392,gao,76,52,16.64,1.64,84.06,8.68,ML,1595302351
393,pochutla,98,85,15.74,-96.47,81.0,3.42,MX,1595302351
394,calama,100,6,-22.47,-68.93,39.2,16.11,CL,1595302351
395,aksu,33,37,41.12,80.26,79.39,1.97,CN,1595302351
396,hobyo,91,68,5.35,48.53,78.6,25.57,SO,1595302351
397,honiara,40,55,-9.43,159.95,89.6,13.87,SB,1595302352
398,kapuskasing,20,93,49.42,-82.43,55.4,4.7,CA,1595302352
399,okhotsk,22,72,59.38,143.3,60.91,6.91,RU,1595302352
400,verkhnyaya balkariya,75,60,43.13,43.46,71.6,4.47,RU,1595302352
401,yerofey pavlovich,100,92,53.97,121.97,54.46,3.78,RU,1595302352
402,saint-francois,74,72,46.42,3.91,64.4,2.24,FR,1595302352
403,zaranj,0,27,30.97,61.88,87.8,24.16,AF,1595302352
404,mnogovershinnyy,100,95,53.94,139.92,54.21,9.55,RU,1595302134
405,gerash,20,54,27.67,54.14,80.6,4.12,IR,1595302353
406,klaksvik,20,100,62.23,-6.59,46.4,2.24,FO,1595302353
407,kadayanallur,81,59,9.08,77.35,85.12,4.63,IN,1595302353
408,okha,100,79,53.57,142.95,56.28,16.04,RU,1595302353
409,coihaique,90,89,-45.58,-72.07,33.8,3.36,CL,1595302353
410,warrington,3,93,53.39,-2.58,51.01,4.7,GB,1595302311
411,nizhnevartovsk,16,63,60.93,76.55,64.4,8.95,RU,1595302354
412,karaton,20,58,-6.34,106.1,87.8,3.36,ID,1595302354
413,ranong,40,74,9.97,98.63,87.8,3.36,TH,1595302354
414,norman wells,90,82,65.28,-126.83,60.8,18.34,CA,1595302354
415,aksarayskiy,7,65,46.79,48.01,78.8,6.71,RU,1595302354
416,ligayan,7,67,4.65,119.47,85.24,6.93,PH,1595302354
417,pacific grove,90,82,36.62,-121.92,60.01,6.93,US,1595302313
418,rockhampton,75,46,-23.38,150.5,71.6,6.93,AU,1595302355
419,kupang,20,45,-10.17,123.58,87.8,16.11,ID,1595302101
420,pozhva,100,78,59.09,56.08,57.13,7.58,RU,1595302355
421,dandong,54,58,40.13,124.39,83.07,3.69,CN,1595302355
422,pandan niog,29,69,6.23,120.56,83.34,3.02,PH,1595302355
423,dargaville,30,86,-35.93,173.88,56.98,11.54,NZ,1595302355
424,mangrol,23,73,21.12,70.12,84.76,13.27,IN,1595302355
425,santa cruz de la palma,75,73,28.68,-17.76,71.6,21.92,ES,1595302356
426,tilichiki,40,62,60.47,166.1,57.79,9.22,RU,1595302356
427,devgarh,96,66,25.53,73.9,82.65,15.08,IN,1595302356
428,russell,1,83,32.35,-85.2,78.8,3.96,US,1595302356
429,sobolevo,47,91,54.43,31.9,59.32,5.68,RU,1595302356
430,bonnyville,40,64,54.27,-110.73,69.8,2.24,CA,1595302356
431,severomuysk,100,90,56.15,113.43,42.73,5.79,RU,1595302357
432,lamu,46,78,-2.27,40.9,76.24,16.96,KE,1595302357
433,yaan,100,99,7.38,8.57,70.68,5.17,NG,1595302357
434,dubai,25,56,25.26,55.3,95.0,8.05,AE,1595302357
435,henties bay,0,48,-22.12,14.28,62.01,1.01,NA,1595302357
436,nhulunbuy,75,65,-12.23,136.77,80.6,13.87,AU,1595302357
437,skibbereen,40,81,51.55,-9.27,51.8,8.05,IE,1595302357
438,port-gentil,96,82,-0.72,8.78,74.43,10.58,GA,1595302358
439,naze,75,74,28.37,129.48,86.0,4.7,JP,1595302358
440,lagoa,0,70,39.05,-27.98,68.2,2.46,PT,1595302358
441,tokonou,100,100,9.65,-9.78,68.59,5.17,GN,1595302358
442,nikolayevka,89,73,53.13,47.2,65.86,5.5,RU,1595302358
443,the valley,20,78,18.22,-63.06,82.4,9.17,AI,1595302358
444,verona,0,82,45.42,11.03,73.0,1.12,IT,1595302214
445,tigil,49,51,57.8,158.67,67.5,8.93,RU,1595302358
446,tura,100,98,25.52,90.22,75.18,5.06,IN,1595302359
447,paamiut,99,70,61.99,-49.67,47.7,5.17,GL,1595302359
448,cockburn town,62,78,21.46,-71.14,83.1,22.24,TC,1595302129
449,wewak,12,66,-3.55,143.63,85.39,9.35,PG,1595302359
450,shenjiamen,94,87,29.96,122.3,80.69,15.01,CN,1595302359
451,kruisfontein,0,93,-34.0,24.73,51.76,5.35,ZA,1595302359
452,trelew,97,80,-43.25,-65.31,43.63,13.78,AR,1595302262
453,hereford,7,91,52.06,-2.71,48.0,2.24,GB,1595302360
454,leh,98,39,34.17,77.58,56.41,6.4,IN,1595302360
455,kondoa,13,91,-4.9,35.78,52.47,3.02,TZ,1595302360
456,tsogni,96,94,-2.79,10.1,68.99,4.18,GA,1595302360
457,hope,100,68,33.67,-93.59,82.99,6.24,US,1595302232
458,tulsipur,99,90,28.13,82.3,80.01,2.39,NP,1595302360
459,cumberland,40,88,35.05,-78.87,77.0,6.93,US,1595302360
460,olafsvik,98,76,64.89,-23.71,48.54,3.87,IS,1595302360
461,batagay,100,39,67.63,134.63,89.65,6.44,RU,1595302361
462,saint-joseph,90,63,-21.37,55.62,62.6,6.93,RE,1595302361
463,were ilu,100,97,10.6,39.43,53.11,4.23,ET,1595302361
464,nunoa,34,60,-14.48,-70.64,37.87,1.99,PE,1595302361
465,tezu,100,87,27.92,96.17,75.45,2.39,IN,1595302361
466,rehoboth,0,57,-23.32,17.08,43.65,6.15,NA,1595302361
467,vestmannaeyjar,32,69,63.44,-20.27,49.08,1.1,IS,1595302362
468,little current,1,87,45.98,-81.92,60.8,11.41,CA,1595302362
469,kalianget,16,68,-7.05,113.93,85.06,14.9,ID,1595302362
470,lac du bonnet,90,97,50.25,-96.06,66.99,2.48,CA,1595302362
471,ugoofaaru,100,76,5.67,73.0,83.14,17.36,MV,1595302362
472,mitsamiouli,65,69,-11.38,43.28,76.32,13.65,KM,1595302362
473,taguatinga,5,51,-12.39,-46.57,69.53,8.32,BR,1595302362
474,dabakala,52,92,8.37,-4.43,71.38,6.31,CI,1595302363
475,ovre ardal,100,80,61.32,7.8,42.82,4.7,NO,1595302363
476,posse,0,71,-14.09,-46.37,63.16,7.83,BR,1595302363
477,gwanda,0,92,-20.93,29.0,46.56,3.96,ZW,1595302363
478,arua,69,96,3.02,30.91,60.76,4.59,UG,1595302363
479,sao gabriel,93,91,-30.34,-54.32,67.24,6.2,BR,1595302363
480,saint anthony,20,57,45.02,-93.22,75.2,5.82,US,1595302363
481,kirakira,13,68,-10.45,161.92,81.34,10.4,SB,1595302364
482,lasa,5,100,46.62,10.7,57.2,1.86,IT,1595302364
483,ixtapa,40,79,20.7,-105.2,84.2,3.36,MX,1595302364
484,kahului,20,51,20.89,-156.47,86.0,25.28,US,1595302364
485,taoudenni,6,28,22.68,-3.98,93.47,6.62,ML,1595302364
486,nabire,65,64,-3.37,135.48,86.09,5.93,ID,1595302364
487,vitoria da conquista,60,94,-14.87,-40.84,61.32,9.06,BR,1595302364
488,vostok,100,100,46.49,135.88,61.5,2.06,RU,1595302365
489,rocha,100,84,-34.48,-54.33,65.8,5.26,UY,1595302365
490,phan thiet,57,62,10.93,108.1,87.39,5.53,VN,1595302365
491,karratha,0,33,-20.74,116.85,76.66,15.41,AU,1595302345
492,ures,7,58,29.43,-110.4,87.01,1.99,MX,1595302365
493,palafrugell,0,91,41.92,3.16,72.0,4.29,ES,1595302365
494,kushmurun,67,68,52.45,64.63,74.97,10.4,KZ,1595302365
495,aswan,0,21,24.09,32.91,87.35,9.91,EG,1595302365
496,cravo norte,100,94,6.3,-70.2,72.82,2.51,CO,1595302366
497,balabac,46,68,7.99,117.06,86.5,9.89,PH,1595302366
498,ginir,65,89,7.13,40.7,56.21,9.31,ET,1595302366
499,owo,97,99,7.2,5.59,70.43,1.95,NG,1595302366
500,malanje,0,44,-9.54,16.34,52.7,2.82,AO,1595302366
501,bambanglipuro,74,66,-7.95,110.28,85.17,13.29,ID,1595302366
502,verkhnevilyuysk,100,98,63.45,120.32,65.43,5.91,RU,1595302367
503,anloga,40,88,5.79,0.9,77.0,8.05,GH,1595302367
504,mopipi,0,86,-21.18,24.88,46.81,8.03,BW,1595302367
505,marovoay,37,66,-16.1,46.63,63.1,6.6,MG,1595302367
506,fortuna,90,100,40.6,-124.16,57.0,6.93,US,1595302367
507,taclobo,81,71,12.31,122.59,84.54,3.4,PH,1595302367
508,itapirapua,0,42,-15.82,-50.61,64.27,5.41,BR,1595302367
509,zhezkazgan,0,30,47.8,67.71,80.6,8.95,KZ,1595302368
510,nelson bay,40,59,-32.72,152.15,63.0,17.22,AU,1595302368
511,kudahuvadhoo,100,75,2.67,72.89,84.15,16.73,MV,1595302368
512,sambava,14,77,-14.27,50.17,68.4,13.2,MG,1595302368
513,nueve de julio,100,97,-35.44,-60.88,55.0,5.01,AR,1595302368
514,atar,13,45,20.52,-13.05,86.27,3.02,MR,1595302368
515,tavda,0,57,58.04,65.27,64.06,8.25,RU,1595302368
516,viedma,100,91,-40.81,-63.0,46.99,1.99,AR,1595302073
517,yazd,0,18,31.9,54.37,82.4,2.24,IR,1595302368
518,krasnomayskiy,100,91,57.62,34.41,60.84,3.2,RU,1595302369
519,husavik,90,93,66.04,-17.34,42.8,2.19,IS,1595302369
520,esperance,100,66,-33.87,121.9,53.6,17.22,AU,1595302111
521,grand forks,90,82,47.93,-97.03,64.4,8.05,US,1595302324
522,halifax,34,90,44.65,-63.57,68.0,9.73,CA,1595302150
523,camapua,0,45,-19.53,-54.04,68.23,3.4,BR,1595302369
524,gritsovskiy,39,88,54.14,38.16,59.56,9.84,RU,1595302369
525,praia,0,83,14.92,-23.51,77.0,2.24,CV,1595302369
526,ambilobe,28,67,-13.2,49.05,65.68,3.89,MG,1595302370
527,constantine,0,64,36.37,6.61,68.0,1.9,DZ,1595302370
528,jaguarao,100,73,-32.57,-53.38,69.01,6.96,BR,1595302370
529,smirnykh,100,82,49.75,142.83,62.53,7.65,RU,1595302370
530,anadyr,1,62,64.75,177.48,57.2,13.42,RU,1595302370
531,sur,92,59,22.57,59.53,89.35,8.12,OM,1595302370
532,gigmoto,100,78,13.78,124.39,85.26,6.96,PH,1595302370
533,gwadar,85,78,25.12,62.33,85.37,13.53,PK,1595302370
534,palauig,7,65,15.44,119.9,86.63,6.08,PH,1595302371
535,virginia beach,84,78,36.85,-75.98,87.01,1.01,US,1595302328
536,gambela,39,89,8.25,34.58,68.13,3.11,ET,1595302371
537,pekan,40,79,3.48,103.4,86.0,1.12,MY,1595302371
538,jennings,75,74,38.72,-90.26,80.6,6.93,US,1595302371
539,panaba,14,88,21.28,-88.27,76.55,5.59,MX,1595302371
540,nokaneng,0,57,-19.67,22.27,46.09,6.44,BW,1595302371
541,vila do maio,0,83,15.13,-23.22,77.0,2.24,CV,1595302371
542,erie,75,64,42.77,-78.67,75.2,9.17,US,1595302202
543,moyale,85,67,3.52,39.06,61.63,8.63,KE,1595302372
544,pangnirtung,88,70,66.15,-65.71,51.39,2.91,CA,1595302372
545,lalin,75,82,42.72,-8.12,64.0,10.29,ES,1595302372
546,bayeux,10,86,-7.12,-34.93,71.78,11.18,BR,1595302372
547,batouri,97,97,4.43,14.37,66.09,2.24,CM,1595302372
548,cambridge,1,93,43.36,-80.31,68.0,4.7,CA,1595302196
549,aquiraz,75,94,-3.9,-38.39,73.4,8.05,BR,1595302372
550,hakui,75,66,36.88,136.78,90.0,10.29,JP,1595302373
551,hendek,40,100,40.8,30.75,59.0,1.61,TR,1595302373
552,akhtanizovskaya,75,73,45.32,37.1,71.6,6.71,RU,1595302373
553,port macquarie,8,57,-31.43,152.92,64.0,4.0,AU,1595302369
554,ayan,100,94,56.45,138.17,52.18,16.46,RU,1595302373
555,ngunguru,56,3,-35.62,174.5,61.0,7.0,NZ,1595302373
556,saint-pierre,90,63,-21.34,55.48,62.6,6.93,RE,1595302373
557,broome,1,60,42.25,-75.83,71.6,3.36,US,1595302144
558,tursunzoda,0,44,38.51,68.23,75.2,2.24,TJ,1595302374
559,alenquer,40,100,-1.94,-54.74,75.2,2.24,BR,1595302374
560,tessalit,27,41,20.2,1.01,84.25,12.15,ML,1595302374
561,agdam,14,48,39.99,46.93,84.16,4.97,AZ,1595302374
562,roma,75,73,43.21,-75.46,71.6,4.41,US,1595302369
563,amuntai,2,47,-2.42,115.25,94.46,1.07,ID,1595302244
564,palmira,40,78,3.54,-76.3,71.6,9.17,CO,1595302374
565,loreto,88,71,22.27,-101.97,65.1,7.87,MX,1595302375
566,riyadh,83,13,24.69,46.72,95.0,8.05,SA,1595302264
567,isiolo,100,67,0.35,37.58,64.42,8.93,KE,1595302375
568,dwarka,42,74,22.24,68.97,85.46,15.43,IN,1595302375
569,hunucma,40,83,21.02,-89.87,80.01,5.82,MX,1595302375
570,panorama,0,47,40.59,23.03,77.0,9.17,GR,1595302375
571,villazon,100,56,-22.09,-65.59,44.44,4.12,BO,1595302375
572,northampton,25,91,40.88,-75.25,75.99,5.82,US,1595302375
573,sao felix do xingu,90,66,-6.64,-51.99,69.69,2.04,BR,1595302376
574,broken hill,92,54,-31.95,141.43,53.6,14.99,AU,1595302376
575,alihe,0,26,50.57,123.72,77.79,14.14,CN,1595302376
576,yarkovo,0,56,57.4,67.08,64.85,8.1,RU,1595302376
